Kinvent Physio 2.23.0_ota_4,Version BLE : 5,Appareils: ,S121577 (FW 3.022) (125 Hz),M122648 (FW 3.022) (500 Hz),S121578 (FW 3.022) (125 Hz)
Legacy RMS
K-Move (S121578) Quaternion de base (x-y-z-w),-0.576,-0.184,0.255,0.755
K-Move (S121577) Quaternion de base (x-y-z-w),-0.385,0.520,-0.705,0.289
,K-Move (S121578),,,,,K-Move (S121577),,,
temps (seconde),CHANNEL_1,CHANNEL_2,CHANNEL_3,CHANNEL_4,,CHANNEL_1,CHANNEL_2,CHANNEL_3,CHANNEL_4
1.088,-0.580918764972494,-0.179143322846784,0.240088674759055,0.756796613280163,,-0.416207507906657,0.509379638837807,-0.699294532642113,0.279730020345536,
1.096,-0.580948354931255,-0.179020962913781,0.240118809445215,0.756795403739507,,-0.416975917938007,0.508928522837899,-0.699303680277502,0.279336937487125,
1.104,-0.580949578316169,-0.178868747557841,0.240119315097269,0.756827515899489,,-0.417862621742271,0.508381211874288,-0.699336983437346,0.278910787328558,
1.112,-0.580975617516307,-0.178684259103744,0.240147982047372,0.756852199107234,,-0.418834044134166,0.507795078719643,-0.699358857139212,0.278510600901224,
1.12,-0.581038303433900,-0.178501656430741,0.240209700421673,0.756823829342785,,-0.419780009848418,0.507215104593290,-0.699358684528269,0.278144311869028,
1.128,-0.581129507127178,-0.178257402117942,0.240270591829234,0.756792853573142,,-0.420821248890831,0.506517533384663,-0.699395210735454,0.277719440489271,
1.136,-0.581185608206537,-0.177981225953609,0.240299069471659,0.756816944860004,,-0.421888965991898,0.505815084082011,-0.699455527457199,0.277230856992940,
1.144,-0.581190961075172,-0.177708200290943,0.240331801011708,0.756854433662269,,-0.422895460232956,0.505203972627290,-0.699485021905128,0.276742154390737,
1.152,-0.581196846207718,-0.177465850698272,0.240334234608579,0.756892616193952,,-0.424024616730692,0.504532529422182,-0.699515491585158,0.276162282769255,
1.16,-0.581168052676015,-0.177313783860088,0.240304429279575,0.756955900358305,,-0.425181577788646,0.503827351974789,-0.699572014617366,0.275550133925760,
1.168,-0.581166055305702,-0.177221618608424,0.240303603396371,0.756983817455372,,-0.426374625047290,0.503098253088868,-0.699576660937586,0.275002630184033,
1.176,-0.581190991929429,-0.177097843213951,0.240301295444882,0.757007065469937,,-0.427688719505506,0.502337399961512,-0.699518562850414,0.274484968119917,
1.184,-0.581219060746662,-0.176913987668595,0.240300282715632,0.757034393325371,,-0.429212200340813,0.501449492591005,-0.699423009628182,0.273995103431443,
1.192,-0.581253833482034,-0.176732172093587,0.240302041627509,0.757039934545591,,-0.430858292065343,0.500470685053092,-0.699297839947957,0.273536115014993,
1.2,-0.581284013531953,-0.176548958800984,0.240271383343155,0.757070012268975,,-0.432412641759261,0.499522204835598,-0.699202910251001,0.273077021558463,
1.208,-0.581308032289238,-0.176394394510279,0.240207660759586,0.757122583634172,,-0.433940314010500,0.498517127038577,-0.699205748244924,0.272467763097668,
1.216,-0.581312399831925,-0.176304164942725,0.240117910640361,0.757158790415270,,-0.435223816888180,0.497603557559902,-0.699361123890998,0.271675367641720,
1.224,-0.581343584098665,-0.176273848588056,0.240057149063998,0.757159657802922,,-0.436136241403565,0.496837031002032,-0.699691806497763,0.270788389194166,
1.232,-0.581375661873772,-0.176274321416425,0.240057792981579,0.757131170363591,,-0.436896546118627,0.496071064344669,-0.700206367291547,0.269657577640695,
1.24,-0.581434663612495,-0.176243186141201,0.240056952759599,0.757098002041716,,-0.437477128363711,0.495369985880695,-0.700817912503960,0.268406790649378,
1.248,-0.581495225785249,-0.176182005797116,0.240056756902843,0.757066866067738,,-0.437905694374199,0.494761106501813,-0.701430376994675,0.267217385179489,
1.256,-0.581501376115160,-0.176153350631715,0.240089814521778,0.757044354776564,,-0.438393276809496,0.494088907173390,-0.702100642274923,0.265904672526358,
1.264,-0.581498677874893,-0.176122014800882,0.240149737388345,0.757040841994573,,-0.438909289364233,0.493383846554829,-0.702767564697507,0.264621224313535,
1.272,-0.581529616631283,-0.176061105134918,0.240210947914187,0.757010870665913,,-0.439431418305124,0.492716178105161,-0.703322207532459,0.263494052756888,
1.28,-0.581558420247413,-0.175999549200610,0.240301794764281,0.756978120057559,,-0.440079733808589,0.491961533217369,-0.703852905743932,0.262338792775217,
1.288,-0.581557277375049,-0.175938166670191,0.240362359183768,0.756976632452283,,-0.440811334098428,0.491197619933135,-0.704339849048575,0.261239616441605,
1.296,-0.581532908647686,-0.175878989899586,0.240395419649322,0.756984637423102,,-0.441570562219513,0.490491538875666,-0.704730625666804,0.260260816546272,
1.304,-0.581501820228960,-0.175817780326390,0.240425702727183,0.757014414337113,,-0.442366443154365,0.489731239275481,-0.705100676277230,0.259316155052269,
1.312,-0.581466146429062,-0.175755184867736,0.240423571173472,0.757068739540532,,-0.443280593569116,0.488875168907653,-0.705495179451790,0.258308223336936,
1.32,-0.581437187694986,-0.175694619439431,0.240424216075011,0.757101288701303,,-0.444257184619321,0.487990134097887,-0.705861401597875,0.257301114482757,
1.328,-0.581410360753635,-0.175634697713357,0.240395223959707,0.757136614347643,,-0.445171120905104,0.487164365737175,-0.706194538818407,0.256384629239993,
1.336,-0.581375255765917,-0.175602793788824,0.240362809155505,0.757191678257647,,-0.446119033232316,0.486281343242833,-0.706563678847625,0.255378579155016,
1.344,-0.581346292966561,-0.175542226738603,0.240363452328449,0.757224222850874,,-0.447038804343457,0.485400886338250,-0.706936569075085,0.254373869074462,
